TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
HBA1c target,408591000,76.000,75.000,15,6480,0.002315,16,1.07,,,,
Signposting to service,975151000000106,76.000,76.000,15,6480,0.002315,18,1.2,NaN,NaN,,NaN
Parkinson's disease,49049000,83.000,82.000,15,6480,0.002315,47,3.13,NaN,NaN,NaN,NaN
Drug therapy discontinued,274512008,72.000,71.000,15,6480,0.002315,19,1.27,NaN,NaN,,NaN
Seen in spinal clinic,925331000000102,76.000,75.500,15,6480,0.002315,18,1.2,,,,
Urine protein electrophoresis,1003311000000106,74.000,74.000,15,6480,0.002315,17,1.13,,,,
Seen by general practitioner,185278000,56.000,55.000,15,6480,0.002315,23,1.53,,,,
Discharged from services,266964007,68.500,68.000,15,6480,0.002315,16,1.07,,,,
Moderate risk category for developing complication from COVID-19 infection,1300571000000100,79.000,78.000,15,6480,0.002315,17,1.13,NaN,NaN,,NaN
Target weight,390734006,70.000,69.000,15,6480,0.002315,15,1,76.035714286,73,11.33148148,70
International normalised ratio using testing strip,360471000000102,82.000,81.000,15,6480,0.002315,84,5.6,2.604477612,2.4,0.9020906418,2.3
O/E - wax in ear,164226003,71.000,70.500,15,6480,0.002315,16,1.07,,,,
Implantation of cardiac pacemaker,307280005,84.000,83.000,15,6480,0.002315,15,1,NaN,NaN,NaN,NaN
Magnetic resonance study,113091000,67.000,66.500,15,6480,0.002315,16,1.07,,,,
Urine smell normal,167247007,75.000,74.000,15,6480,0.002315,19,1.27,NaN,NaN,NaN,NaN
Seen in neurosurgery clinic,185247004,74.500,74.000,15,6480,0.002315,20,1.33,,,,
Ulcerative colitis,64766004,74.500,74.000,15,6480,0.002315,32,2.13,NaN,NaN,,NaN
Constipation symptom,14760008,73.500,73.000,15,6480,0.002315,18,1.2,NaN,NaN,,NaN
Injection of steroid into shoulder joint,308028008,80.000,79.000,15,6480,0.002315,19,1.27,,,,
Stop smoking service opportunity signposted,783011000000105,70.000,70.000,15,6480,0.002315,17,1.13,,,,
Type 1 diabetes mellitus,46635009,63.000,62.000,15,6480,0.002315,53,3.53,,,,
Patient given verbal advice,413333007,75.500,74.500,15,6480,0.002315,16,1.07,,,,
Sensation of blocked ears,103281005,75.000,74.000,15,6480,0.002315,15,1,NaN,NaN,NaN,NaN
Glaucoma monitoring,170946006,78.000,77.000,15,6480,0.002315,17,1.13,NaN,NaN,,NaN
GP practice site,394761003,77.000,76.500,15,6480,0.002315,16,1.07,,,,
Stopped drinking alcohol,160579004,74.000,74.000,15,6480,0.002315,17,1.13,NaN,NaN,NaN,80
Primary prevention of ischaemic heart disease,315610002,68.000,66.000,15,6480,0.002315,19,1.27,,,,
Nephroureterectomy,175907006,70.000,69.000,15,6480,0.002315,22,1.47,NaN,NaN,,NaN
Frail elderly assessment,134427001,83.000,83.000,15,6480,0.002315,18,1.2,,,,
Mobility poor,160693001,78.500,78.000,15,6480,0.002315,16,1.07,NaN,NaN,,NaN
Dissent from secondary use of general practitioner patient identifiable data,827241000000103,72.000,71.500,15,6480,0.002315,16,1.07,,,,
Independent walking,165245003,79.500,78.500,15,6480,0.002315,16,1.07,NaN,NaN,,NaN
Has never misused drugs,228368007,69.000,69.000,15,6480,0.002315,17,1.13,NaN,NaN,NaN,NaN
Dry senile macular degeneration,414875008,81.000,81.000,15,6480,0.002315,16,1.07,,,,
Test request : ESR,109801000006103,77.000,76.000,15,6480,0.002315,17,1.13,,,,
Transferred Attachment,1563271000006102,80.000,80.000,15,6480,0.002315,15,1,NaN,NaN,,NaN
Pulmonary rehabilitation programme completed,391130000,78.500,77.500,15,6480,0.002315,16,1.07,NaN,NaN,NaN,NaN
Appointment made by letter,185421006,70.000,69.500,15,6480,0.002315,18,1.2,NaN,NaN,,NaN
Follow-up cardiac assessment,170572009,76.000,75.500,15,6480,0.002315,24,1.6,,,,
Left ventricular ejection fraction,250908004,79.000,79.000,15,6480,0.002315,15,1,NaN,55,NaN,60
Refer to weight management programme,408289007,69.000,69.000,15,6480,0.002315,17,1.13,,,,
Other referral,3457005,76.000,75.500,14,6480,0.00216,14,1,,,,
No FH: Allergy,160268005,74.000,73.000,14,6480,0.00216,16,1.14,,,,
Referral to audiologist,308456006,82.000,81.500,14,6480,0.00216,14,1,,,,
Asthma clinical management plan,736056000,75.000,74.000,14,6480,0.00216,15,1.07,NaN,NaN,NaN,NaN
Single,125681006,68.500,68.000,14,6480,0.00216,14,1,,,,
Seen in primary care centre,185175005,76.000,75.000,14,6480,0.00216,24,1.71,,,,
Doppler of left foot - biphasic,856441000006107,77.000,76.000,14,6480,0.00216,14,1,,,,
Influenza vaccination invitation second letter sent,200491000000109,75.000,74.000,14,6480,0.00216,14,1,,,,
O/E - tympanic membrane normal,164232008,73.000,73.000,14,6480,0.00216,15,1.07,,,,
Third party consultation,25741000000100,79.000,78.000,14,6480,0.00216,25,1.79,NaN,NaN,NaN,NaN
Diabetes monitoring invitation,310425007,70.000,70.000,14,6480,0.00216,17,1.21,NaN,NaN,NaN,NaN
Encounter by computer link,185320006,70.000,69.500,14,6480,0.00216,18,1.29,NaN,NaN,NaN,NaN
Squamous cell carcinoma - category,400155002,71.500,70.500,14,6480,0.00216,32,2.29,,,,
Centromere antibody level,995721000000105,71.000,71.000,14,6480,0.00216,15,1.07,0.2,0.2,3.982502847e-09,0.2
Advice to general practitioner to change patient medication,93301000000109,71.000,70.500,14,6480,0.00216,18,1.29,,,,
La antibody level,1022131000000101,74.000,73.500,14,6480,0.00216,14,1,0.2,0.2,0,0.2
Disease modifying antirheumatic drug monitoring,401192009,74.000,73.000,14,6480,0.00216,49,3.5,,,,
Consent given for upload to local shared electronic record,417528008,67.500,67.000,14,6480,0.00216,14,1,,,,
Nuclear cataract,53889007,79.000,78.000,14,6480,0.00216,19,1.36,NaN,NaN,NaN,NaN
Prescription collected,416381005,78.000,77.000,14,6480,0.00216,63,4.5,,,,
O/E - Left diabetic foot at increased risk,756381000000100,77.500,77.500,14,6480,0.00216,14,1,NaN,NaN,,NaN
Referral for endoscopy,266755007,72.000,72.000,14,6480,0.00216,16,1.14,,,,
Anti-tissue transglutaminase level,998781000000101,72.500,72.500,14,6480,0.00216,14,1,0.6444444444,0.7,0.3468108674,0.9
Stool sample sent to laboratory,165334004,79.000,78.000,14,6480,0.00216,17,1.21,NaN,NaN,,NaN
"Ear nose and throat microscopy, culture and sensitivities",995591000000102,73.000,73.000,14,6480,0.00216,14,1,NaN,NaN,,NaN
Sputum sent for C/S,168302007,66.000,65.000,14,6480,0.00216,17,1.21,,,,
Screening for cardiovascular system disease,300007000,71.000,70.500,14,6480,0.00216,16,1.14,NaN,NaN,,NaN
Patient asked to make telephone consultation appointment,896711000000100,70.000,69.000,14,6480,0.00216,17,1.21,NaN,NaN,,NaN
A&E attendance,841501000006102,74.500,74.000,14,6480,0.00216,18,1.29,,,,
Hip DXA scan T score,391068001,72.000,71.500,14,6480,0.00216,14,1,-1.116666667,-1.55,1.57470536,1.7
Self-monitoring of blood pressure,924481000000109,76.000,75.000,14,6480,0.00216,17,1.21,,,,
Annual diabetic blood test,170778005,67.500,66.500,14,6480,0.00216,16,1.14,NaN,NaN,,NaN
Plain X-ray ankle joint,19490002,70.000,70.000,14,6480,0.00216,14,1,0,0,,0
High risk of heart disease,161640005,68.000,67.500,14,6480,0.00216,14,1,,,,
Referral letter sent by fax,929011000000109,74.000,73.500,14,6480,0.00216,18,1.29,NaN,NaN,,NaN
Excepted from COPD quality indicators - informed dissent,716291000000101,76.000,76.000,14,6480,0.00216,15,1.07,,,,
Cardiovascular disease risk assessment done,990301000000105,66.500,66.500,14,6480,0.00216,14,1,NaN,NaN,NaN,NaN
Pseudophakia,95217000,83.000,82.000,14,6480,0.00216,15,1.07,NaN,NaN,NaN,NaN
Diabetic - moderate control,616891000006103,79.000,78.000,14,6480,0.00216,17,1.21,,,,
HIV (human immunodeficiency virus) screening test,992781000000103,73.000,72.000,14,6480,0.00216,14,1,,,,
CVS examined - NAD,162984005,64.000,63.500,14,6480,0.00216,18,1.29,,,,
Plain X-ray cervical spine,66769009,71.500,70.500,14,6480,0.00216,14,1,NaN,NaN,,NaN
Urge incontinence of urine,87557004,72.000,71.500,14,6480,0.00216,24,1.71,NaN,NaN,NaN,NaN
No relevant family history,160266009,69.000,68.500,14,6480,0.00216,14,1,NaN,NaN,,NaN
Blood not detected in urine,167297006,79.000,78.000,14,6480,0.00216,17,1.21,,,,
Plain X-ray abdomen,168702005,67.000,67.000,14,6480,0.00216,14,1,,,,
Fall,1912002,81.500,80.500,14,6480,0.00216,18,1.29,,,,
Stroke monitoring,170600009,77.500,77.000,14,6480,0.00216,14,1,NaN,NaN,,NaN
Thyroid function tests,1027131000000103,64.000,64.000,14,6480,0.00216,17,1.21,NaN,NaN,NaN,NaN
Not on a special diet,161035003,72.000,71.500,14,6480,0.00216,16,1.14,NaN,NaN,NaN,NaN
Chronic low back pain,278860009,73.000,73.000,14,6480,0.00216,21,1.5,,,,
Referral to renal physician,306286007,78.000,78.000,14,6480,0.00216,15,1.07,NaN,NaN,NaN,NaN
Pain score,225908003,84.000,83.000,14,6480,0.00216,20,1.43,3.7,3.5,3.771081096,0
Chronic obstructive pulmonary disease monitoring telephone invitation,716901000000101,74.500,74.000,14,6480,0.00216,18,1.29,NaN,NaN,,NaN
Suspected kidney cancer,315270004,67.000,67.000,14,6480,0.00216,18,1.29,NaN,NaN,NaN,NaN
Urine leucocyte test,1014851000000100,64.000,64.000,14,6480,0.00216,17,1.21,NaN,NaN,NaN,NaN
Rib pain,297217002,66.500,66.500,14,6480,0.00216,18,1.29,NaN,NaN,,NaN
Folic acid deficiency,190633005,78.000,77.000,14,6480,0.00216,15,1.07,,,,
Gram stain microscopy,1009871000000108,68.000,67.500,14,6480,0.00216,14,1,NaN,NaN,,NaN
Cerebrovascular accident,230690007,74.000,74.000,14,6480,0.00216,17,1.21,NaN,NaN,,NaN
Intramuscular injection of gonadorelin analogue,865211000000104,84.000,83.000,14,6480,0.00216,33,2.36,NaN,NaN,NaN,NaN
Urine specific gravity - 1^015,1856711000006102,74.000,73.000,14,6480,0.00216,17,1.21,NaN,NaN,,NaN
Adult immunisation - first call,185685007,78.000,77.000,14,6480,0.00216,14,1,,,,
Multiple joint pain,35678005,78.000,77.000,14,6480,0.00216,23,1.64,NaN,NaN,NaN,NaN
Electronic general practitioner medical record received,384071000000103,70.000,70.000,14,6480,0.00216,15,1.07,,,,
Clinical management plan,737427001,78.000,78.000,14,6480,0.00216,17,1.21,NaN,NaN,,NaN
Not pregnant,60001007,75.000,74.000,14,6480,0.00216,17,1.21,NaN,NaN,,NaN
Pyelonephritis,45816000,71.500,70.500,14,6480,0.00216,18,1.29,,,,
Right calf circumference,413157003,78.000,78.000,14,6480,0.00216,17,1.21,39.558823529,40,3.844160966,43
Atrial fibrillation monitoring invitation,711411000000101,75.500,74.500,14,6480,0.00216,16,1.14,,,,
Lipid disorder monitoring,315598000,76.000,76.000,14,6480,0.00216,17,1.21,,,,
Test request : Vitamin B12,110211000006107,71.000,70.000,14,6480,0.00216,15,1.07,,,,
Nephrostomy,39834009,79.000,79.000,14,6480,0.00216,19,1.36,NaN,NaN,NaN,NaN
No thoughts of deliberate self harm,401228008,71.500,71.500,14,6480,0.00216,14,1,NaN,NaN,NaN,NaN
Chronic obstructive pulmonary disease rescue pack not indicated,820341000000109,68.500,68.000,14,6480,0.00216,14,1,,,,
Failure of electronic choose and book referral system,371711000000101,67.000,67.000,14,6480,0.00216,17,1.21,NaN,NaN,NaN,NaN
Mental health medication review,413143000,66.000,65.500,14,6480,0.00216,18,1.29,NaN,NaN,NaN,NaN
O/E - Right dorsalis pedis abnormal,407640009,80.000,79.000,14,6480,0.00216,15,1.07,NaN,NaN,,NaN
Reason for referral,716101000000104,75.000,74.000,14,6480,0.00216,23,1.64,NaN,NaN,NaN,NaN
Referral to advanced primary nurse,415264009,81.000,80.000,14,6480,0.00216,22,1.57,NaN,NaN,NaN,NaN
Discussion about lipid lowering therapy,819911000000108,79.000,79.000,14,6480,0.00216,14,1,,,,
Seen by clinical nurse specialist,305733002,75.000,75.000,14,6480,0.00216,21,1.5,,,,
Impotence,397803000,66.500,66.000,14,6480,0.00216,16,1.14,,,,
SpO2 (oxygen percent saturation in capillary blood) by pulse oximetry,26801000237104,76.000,76.000,14,6480,0.00216,15,1.07,97.133333333,98,1.846489591,98
Remote triage and advice plan,960781000000101,78.000,78.000,14,6480,0.00216,15,1.07,NaN,NaN,,NaN
Declined to give smoking status,1098881000000103,78.000,78.000,14,6480,0.00216,19,1.36,,,,
Blood urea,1028281000000106,59.000,59.000,14,6480,0.00216,17,1.21,5.792857143,5.65,1.146542821,7
Attended A&E,1874781000006100,71.500,71.500,14,6480,0.00216,16,1.14,NaN,NaN,NaN,NaN
CAT scan,77477000,74.000,73.500,14,6480,0.00216,14,1,NaN,NaN,NaN,NaN
Serum protein profile,1012151000000104,77.500,77.000,14,6480,0.00216,16,1.14,,,,
Agreeing on patient actions in care plan,844591000000104,80.000,79.000,14,6480,0.00216,15,1.07,,,,
Rockwood Clinical Frailty Scale score,763264000,79.000,79.000,14,6480,0.00216,15,1.07,4.333333333,5,2.160246899,6
Bladder polyp,309248004,73.000,73.000,14,6480,0.00216,20,1.43,NaN,NaN,NaN,NaN
Pain in thumb,300955002,73.500,73.000,14,6480,0.00216,16,1.14,NaN,NaN,,NaN
Asymptomatic diabetic neuropathy,193185007,73.000,72.000,14,6480,0.00216,15,1.07,,,,
Essential hypertension NOS,59621000,78.000,77.000,14,6480,0.00216,27,1.93,NaN,NaN,NaN,NaN
Check cystoscopy,236226009,76.000,75.000,14,6480,0.00216,17,1.21,,,,
Administrative reason for encounter,185351004,77.000,77.000,14,6480,0.00216,19,1.36,,,,
Family history taken,160265008,63.000,62.000,14,6480,0.00216,14,1,,,,
Referral to orthopaedic triage service,835201000000105,75.000,75.000,14,6480,0.00216,15,1.07,NaN,NaN,,NaN
No speech problem,162293002,75.000,75.000,14,6480,0.00216,18,1.29,,,,
H/O: depression,161469008,61.500,61.500,14,6480,0.00216,14,1,,,,
International normalised ratio derived warfarin dose,439814009,82.000,81.000,14,6480,0.00216,92,6.57,NaN,4,NaN,4
Asthma disturbing sleep,170631002,68.000,67.000,14,6480,0.00216,15,1.07,2.888888889,2,3.018461713,0
[RFC] Reason for care : Enlarged prostate,909491000006106,73.000,72.000,14,6480,0.00216,14,1,NaN,NaN,,NaN
Referral for smoking cessation service offered,767641000000109,66.000,65.000,14,6480,0.00216,15,1.07,NaN,NaN,NaN,NaN
Patient advised about safe drinking - water,183081002,70.000,70.000,14,6480,0.00216,14,1,NaN,NaN,,NaN
FEV1/FVC > 70% of predicted,314473008,75.500,74.500,14,6480,0.00216,14,1,,,,
On four or more medications,401139002,80.000,79.000,14,6480,0.00216,15,1.07,,,,
Advised risk of deep vein thrombosis in air travel,413459009,68.500,68.000,14,6480,0.00216,14,1,NaN,NaN,,NaN
O/E - Right foot deformity,308103003,76.000,76.000,14,6480,0.00216,15,1.07,NaN,NaN,NaN,NaN
Seen by dietician,185284002,75.000,75.000,14,6480,0.00216,19,1.36,NaN,NaN,NaN,NaN
Falls risk assessment complete,93001000000106,77.000,77.000,14,6480,0.00216,14,1,,,,
Lumbar spine dual energy X-ray photon absorptiometry scan T score,1083701000000107,74.500,73.500,14,6480,0.00216,14,1,-0.85,-0.95,1.58314991,1.3
Medication education,967006,73.000,72.000,14,6480,0.00216,15,1.07,NaN,NaN,NaN,NaN
C/O - loin pain,272047006,64.000,63.500,14,6480,0.00216,26,1.86,NaN,NaN,NaN,NaN
DNA - hospital appointment,314503007,71.000,70.000,13,6480,0.002006,21,1.62,NaN,NaN,,NaN
Painful haematuria,197939009,67.500,67.000,13,6480,0.002006,20,1.54,,,,
FH: Myocardial infarction,266897007,69.000,69.000,13,6480,0.002006,13,1,,,,
VV - Varicose veins of leg,72866009,70.000,70.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Seen in memory clinic,432806004,83.000,82.000,13,6480,0.002006,13,1,NaN,NaN,,NaN
Plain X-ray foot,52221007,71.000,71.000,13,6480,0.002006,13,1,,,,
Phimosis,449826002,79.000,78.000,13,6480,0.002006,19,1.46,NaN,NaN,NaN,NaN
ENT examination - NAD,164177002,73.000,72.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Seen in fast track suspected upper gastrointestinal cancer clinic,382811000000108,82.000,81.000,13,6480,0.002006,15,1.15,,,,
Subconjunctival haemorrhage,78768009,78.000,77.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Iron deficiency,35240004,73.000,73.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Referral to ophthalmology service,183543004,81.000,80.000,13,6480,0.002006,13,1,,,,
Hoarse,50219008,74.000,74.000,13,6480,0.002006,15,1.15,,,,
Allergic rhinitis,61582004,72.500,72.000,13,6480,0.002006,14,1.08,,,,
Date of entry to United Kingdom,860021000000109,67.000,66.000,13,6480,0.002006,16,1.23,NaN,NaN,,NaN
Date of foreign travel,810811000000107,71.000,70.000,13,6480,0.002006,13,1,NaN,NaN,,NaN
Carer's details,184140000,85.000,85.000,13,6480,0.002006,13,1,,,,
Plasma urea level,1000961000000100,66.000,66.000,13,6480,0.002006,15,1.15,6.2,5.8,1.816983371,4.4
Weight control education,410200000,65.000,64.000,13,6480,0.002006,13,1,,,,
Bronchiectasis,12295008,76.000,75.000,13,6480,0.002006,26,2,,,,
Non-urgent urology admission,183502004,67.500,67.000,13,6480,0.002006,16,1.23,NaN,NaN,,NaN
Electronic Prescription Service administration,1803791000006109,79.000,79.000,13,6480,0.002006,97,7.46,,,,
Ambulatory ECG,164850009,67.000,66.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Patient initiated diet NOS,160660005,67.000,66.500,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
GPPAQ hours in last week spent walking - none,1746341000006104,80.000,79.000,13,6480,0.002006,13,1,,,,
Expedite appointment,185499000,70.500,70.000,13,6480,0.002006,14,1.08,,,,
Seen in fracture clinic,185191008,73.500,73.500,13,6480,0.002006,16,1.23,,,,
Forced expired volume,165041004,71.000,71.000,13,6480,0.002006,13,1,NaN,2.255,NaN,2.83
Diabetes structured education programme offered,1103691000000102,72.000,72.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Arthralgia of multiple joints,35678005,67.000,66.000,13,6480,0.002006,19,1.46,,,,
NHS diabetes prevention programme invitation first letter,1979251000006109,76.000,76.000,13,6480,0.002006,13,1,NaN,NaN,NaN,NaN
Blood pressure procedure refused,413123006,71.000,71.000,13,6480,0.002006,13,1,,,,
O/E - vibration sense reduced,163745001,73.000,72.000,13,6480,0.002006,15,1.15,NaN,NaN,NaN,NaN
WR - Weight reducing diet,359649009,69.000,68.000,13,6480,0.002006,16,1.23,NaN,NaN,,NaN
Otitis media,65363002,73.500,73.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Signposting to lung health check,1104521000000104,70.000,69.000,13,6480,0.002006,18,1.38,,,,
Referral to dermatology service,183518005,77.000,76.000,13,6480,0.002006,13,1,NaN,NaN,,NaN
Entitled to prescription exemption,170556001,75.000,74.000,13,6480,0.002006,14,1.08,,,,
Test strip urinalysis,231121000000101,64.000,63.500,13,6480,0.002006,16,1.23,,,,
Stroke,230690007,71.000,71.000,13,6480,0.002006,21,1.62,NaN,NaN,,NaN
Patient given written advice,413334001,74.000,73.000,13,6480,0.002006,13,1,,,,
Seen in speech and language clinic,185184005,75.000,74.000,13,6480,0.002006,17,1.31,,,,
Jo-1 antibody level,1012371000000106,75.000,75.000,13,6480,0.002006,13,1,0.2,0.2,0,0.2
Acute cystitis,68226007,61.000,61.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Weight steady,271398006,71.000,71.000,13,6480,0.002006,13,1,,,,
Discharge from care,25241000000106,64.000,63.500,13,6480,0.002006,26,2,,,,
Percentage predicted forced expiratory volume in 1 second after bronchodilation,447254005,79.000,78.000,13,6480,0.002006,13,1,82.230769231,74,20.885217444,95
Test request : C-reactive Protein,109711000006109,73.000,73.000,13,6480,0.002006,15,1.15,,,,
Well nourished,248324001,85.000,84.000,13,6480,0.002006,13,1,,,,
Serum sex hormone binding globulin level,999661000000105,65.000,65.000,13,6480,0.002006,13,1,55.453846154,53,25.260991515,33
Average 24 hour systolic blood pressure,314449000,74.000,73.000,13,6480,0.002006,13,1,124,128,14.640127504,128
Radiograph,168537006,80.000,80.000,13,6480,0.002006,15,1.15,,,,
Referral declined,353811000000108,74.000,73.000,13,6480,0.002006,13,1,,,,
Social / personal history observable,160476009,76.000,75.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Urine specimen,122575003,79.000,78.000,13,6480,0.002006,21,1.62,NaN,NaN,,NaN
Average day interval diastolic blood pressure,314461008,73.000,72.000,13,6480,0.002006,14,1.08,69.428571429,69.5,10.27105182,68
Knee injury,125601008,62.000,61.000,13,6480,0.002006,22,1.69,,,,
Intravenous urogram,32265006,56.000,56.000,13,6480,0.002006,13,1,NaN,NaN,,NaN
Follow-up 3 months,200521000000107,83.000,83.000,13,6480,0.002006,17,1.31,NaN,NaN,,NaN
Actions,717331000000105,82.000,81.000,13,6480,0.002006,27,2.08,NaN,NaN,NaN,NaN
Wells deep vein thrombosis clinical probability score,429053008,75.000,75.000,13,6480,0.002006,13,1,1.692307692,2,1.797434069,0
Did not attend retinal screening,201751000000104,70.500,69.500,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Diabetes care planning test results sent to patient,1918361000006100,77.000,76.000,13,6480,0.002006,14,1.08,,,,
Bowel cancer screening programme administration,715101000000108,73.500,72.500,13,6480,0.002006,14,1.08,,,,
Electronic Frailty Index score,1084961000000105,76.500,75.500,13,6480,0.002006,14,1.08,0.1795384615,0.17,0.08472565076,0.167
Consent status,309370004,72.000,71.000,13,6480,0.002006,29,2.23,NaN,NaN,,NaN
NHS Health Check indicated,523201000000109,62.000,61.000,13,6480,0.002006,15,1.15,,,,
Alzheimer's disease,26929004,85.000,85.000,13,6480,0.002006,22,1.69,,,,
Catheter complications,73862001,77.000,77.000,13,6480,0.002006,20,1.54,,,,
Tinea cruris,399029005,69.000,68.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation,371611000000107,83.500,83.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Advice about symptomatic treatment,313212001,68.500,67.500,13,6480,0.002006,16,1.23,,,,
Scl 70 antibody level,1012361000000104,75.000,75.000,13,6480,0.002006,13,1,0.2,0.2,0,0.2
Neurology referral,904911000006106,76.000,76.000,13,6480,0.002006,18,1.38,NaN,NaN,NaN,NaN
Compliance issues discussed with patient,408377007,75.000,75.000,13,6480,0.002006,13,1,,,,
X-ray of thoracic spine,45554006,77.000,76.000,13,6480,0.002006,15,1.15,,,,
HPV - Human papillomavirus test negative,391148009,61.500,61.500,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
Infected insect bite,262550002,65.000,64.000,13,6480,0.002006,13,1,,,,
Anxiousness,48694002,71.000,71.000,13,6480,0.002006,18,1.38,NaN,NaN,,NaN
Herpes zoster,4740000,78.000,77.000,13,6480,0.002006,22,1.69,NaN,NaN,,NaN
Chronic retention of urine,236650000,75.000,75.000,13,6480,0.002006,17,1.31,NaN,NaN,,NaN
Referral to community musculoskeletal service,841261000000105,77.500,77.000,13,6480,0.002006,14,1.08,,,,
Left calf circumference,413158008,78.000,78.000,13,6480,0.002006,16,1.23,38.5,39.5,4.102844542,37
Clinical summary,887181000000106,75.000,75.000,13,6480,0.002006,15,1.15,NaN,NaN,NaN,NaN
Urine dipstick for nitrite,1024001000000102,64.000,63.000,13,6480,0.002006,15,1.15,,,,
Referred to nephrologist,183536005,79.000,78.000,13,6480,0.002006,13,1,,,,
Seen in geriatric clinic,185263007,83.000,82.000,13,6480,0.002006,21,1.62,NaN,NaN,NaN,NaN
Pipe smoker,82302008,74.000,74.000,13,6480,0.002006,15,1.15,32.733333333,30,28.978974316,75
Medication management,182832007,80.500,80.500,13,6480,0.002006,16,1.23,,,,
Chronic obstructive pulmonary disease does not disturb sleep,198411000000102,79.000,78.000,13,6480,0.002006,14,1.08,,,,
Asked to come in - investigation result,185383005,69.000,69.000,13,6480,0.002006,15,1.15,,,,
Seen in fast track suspected gynaecological cancer clinic,382511000000105,68.000,68.000,13,6480,0.002006,13,1,,,,
Seen in private clinic,313375009,74.000,73.000,13,6480,0.002006,23,1.77,NaN,NaN,,NaN
Discharge to home,306689006,78.000,78.000,13,6480,0.002006,20,1.54,NaN,NaN,NaN,NaN
Lloyd George culled and summarised,16531000000104,67.000,67.000,13,6480,0.002006,13,1,,,,
Currently not sexually active,162171002,65.000,65.000,13,6480,0.002006,13,1,,,,
Acute urinary tract infection,431309003,77.000,77.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Infective otitis externa,86981007,72.000,71.000,13,6480,0.002006,25,1.92,,,,
Coeliac disease screen,993861000000107,67.500,67.000,13,6480,0.002006,14,1.08,NaN,NaN,,NaN
O/E - percussion note normal,162944001,72.000,72.000,13,6480,0.002006,17,1.31,NaN,NaN,NaN,NaN
Health education - breast examination,48023004,59.000,58.000,13,6480,0.002006,15,1.15,,,,
Travel abroad on holiday,161091009,71.000,71.000,13,6480,0.002006,15,1.15,NaN,NaN,NaN,NaN
Average 24 hour diastolic blood pressure,314462001,74.000,73.000,13,6480,0.002006,13,1,72.75,74,11.346805718,74
Insertion of gonadorelin analogue implant,417369003,79.000,79.000,13,6480,0.002006,41,3.15,,,,
Urine ketone test = ++,167290008,75.500,75.000,13,6480,0.002006,14,1.08,,,,
Rosacea,398909004,70.500,70.500,13,6480,0.002006,16,1.23,,,,
At risk of emergency hospital admission,788921000000108,85.000,84.000,13,6480,0.002006,21,1.62,,,,
HPV test consent given,391144006,61.000,61.000,13,6480,0.002006,13,1,NaN,NaN,NaN,NaN
HbA1c target,408591000,76.000,75.000,13,6480,0.002006,17,1.31,6.8,6.9,0.2645751311,6.9
Lymphadenopathy absent,274621000,75.000,75.000,13,6480,0.002006,13,1,NaN,NaN,NaN,NaN
Postoperative monitoring,182775008,74.000,73.000,13,6480,0.002006,14,1.08,,,,
Patient registration data verified,314191000000103,80.000,79.000,13,6480,0.002006,20,1.54,NaN,NaN,,NaN
Type II diabetes mellitus,44054006,76.500,75.000,13,6480,0.002006,20,1.54,NaN,NaN,NaN,NaN
Ear fitting hearing aid,183125006,81.000,80.000,13,6480,0.002006,13,1,,,,
Serum troponin I level,1001271000000105,67.000,67.000,13,6480,0.002006,13,1,5.77,6,3.867085466,2.3
Self-referral to hospital,183687002,76.000,76.000,13,6480,0.002006,18,1.38,,,,
Disorder of bladder,42643001,73.000,73.000,13,6480,0.002006,15,1.15,NaN,NaN,,NaN
Seen by rapid response team,25201000000108,82.000,82.000,13,6480,0.002006,17,1.31,,,,
Nicotine replacement therapy,313396002,67.000,67.000,13,6480,0.002006,36,2.77,NaN,NaN,,NaN
Usual warning given,183095004,75.000,75.000,13,6480,0.002006,15,1.15,,,,
Asthma trigger - airborne dust,340891000000106,64.000,63.000,13,6480,0.002006,13,1,NaN,NaN,,NaN
"Referral to ear, nose and throat service",183544005,74.000,73.000,13,6480,0.002006,13,1,NaN,NaN,,NaN
H/O: postmenopausal bleeding,161788002,65.000,65.000,13,6480,0.002006,19,1.46,,,,
