TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Cardiovascular disease high risk monitoring invitation third letter,375791000000108,69.000,22,277829,7.9e-05,25,1.14,,,,
Influenza NOS,6142004,69.000,22,277829,7.9e-05,31,1.41,,,,
Referral for physiology investigation,266754006,69.000,22,277829,7.9e-05,25,1.14,,,,
Taxi driver,61198002,69.000,22,277829,7.9e-05,26,1.18,NaN,NaN,,NaN
Packing of wound,241019003,70.000,22,277829,7.9e-05,76,3.45,NaN,NaN,NaN,NaN
Nasal swab taken,269944001,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
H/O: vertebral fracture,391094005,69.000,22,277829,7.9e-05,27,1.23,NaN,NaN,NaN,NaN
H/O: back problem,161570007,69.000,22,277829,7.9e-05,45,2.05,,,,
Private referral to endocrinologist,183915000,69.000,22,277829,7.9e-05,22,1,,,,
Urine dipstick bilirubin positive,858041000006100,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Patient specific direction to administer pneumococcal vaccin.,1788051000006109,69.000,22,277829,7.9e-05,22,1,,,,
Intravenous antibiotic therapy,281790008,69.000,22,277829,7.9e-05,29,1.32,NaN,NaN,NaN,NaN
Advice given about SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) by telephone,1240731000000107,70.000,22,277829,7.9e-05,26,1.18,,,,
Immunoglobulin G,997011000000105,69.000,22,277829,7.9e-05,24,1.09,11.514166667,10.44,3.564991514,9.3
Helicobacter pylori stool test negative,736692000,69.000,22,277829,7.9e-05,24,1.09,,,,
Bilateral earache,162359003,69.000,22,277829,7.9e-05,24,1.09,,,,
"Safety education, guidance, and counselling",409059003,69.000,22,277829,7.9e-05,22,1,,,,
O/E - posture,163674002,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
On examination - peripheral pulses left leg,268936008,69.000,22,277829,7.9e-05,23,1.05,,,,
Lung function test NOS,23426006,69.000,22,277829,7.9e-05,29,1.32,89.04,90,3.102149792,90
111 contact disposition to pharmacist,864831000000107,69.000,22,277829,7.9e-05,27,1.23,NaN,NaN,NaN,NaN
Excepted from heart failure quality indicators - patient unsuitable,717481000000104,69.000,22,277829,7.9e-05,22,1,,,,
Crohn's regional enteritis,34000006,69.000,22,277829,7.9e-05,141,6.41,,,,
Alcohol screen - alcohol use disorder identification test Piccinelli consumption questions completed,285991000000109,69.000,22,277829,7.9e-05,22,1,3.666666667,4,1.032795559,4
Adverse reaction to drug NOS,62014003,69.500,22,277829,7.9e-05,26,1.18,,,,
Accommodation type: other,1009791000006106,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Impairment with substantial and long term adverse effect on normal day to day activity (Equality Act 2010),1326341000000105,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Serum sodium valproate level,1026691000000107,69.000,22,277829,7.9e-05,26,1.18,44.6,42,21.199475885,42
Retinal pigment epithelial detachment,232067008,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,,NaN
CT of neck,169068008,70.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Cognitive functions,311465003,69.000,22,277829,7.9e-05,26,1.18,NaN,NaN,,NaN
Bronchial asthma,195967001,69.000,22,277829,7.9e-05,28,1.27,NaN,NaN,,NaN
Private referral to chest physician,183907003,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Memory -- two important people successfully identified,711341000006104,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Cystoscopy of ureter,387717002,69.500,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Ability to manage medication,285033005,69.000,22,277829,7.9e-05,25,1.14,,,,
O/E - chest expansion reduced,162904008,69.000,22,277829,7.9e-05,23,1.05,,,,
Referral to magnetic resonance imaging service,306144006,70.000,22,277829,7.9e-05,23,1.05,,,,
Strain of calf muscle,285395009,69.000,22,277829,7.9e-05,23,1.05,,,,
Colonoscopy planned,703993001,70.000,22,277829,7.9e-05,25,1.14,,,,
Referral to chest physician,306273003,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
IPSS - nocturia,759421000006108,69.000,22,277829,7.9e-05,23,1.05,2.652173913,3,1.433644296,3
Referral statuses,309012006,69.000,22,277829,7.9e-05,30,1.36,,,,
New patient screen admin. NOS,715031000000101,69.000,22,277829,7.9e-05,23,1.05,,,,
Braden Scale score,443428004,70.000,22,277829,7.9e-05,104,4.73,18.932692308,19.5,2.243715811,20
Infection control education,385820004,69.000,22,277829,7.9e-05,22,1,,,,
Anxious,48694002,69.000,22,277829,7.9e-05,25,1.14,NaN,NaN,NaN,NaN
Varicella zoster IgG level,1012341000000100,70.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Implantation of sacral nerve stimulator,417445001,69.000,22,277829,7.9e-05,29,1.32,,,,
Care assistant,312884005,70.000,22,277829,7.9e-05,31,1.41,,,,
Batch prescription cancelled,781551000000100,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,,NaN
Meets eligibility criteria for well-being assessment for long term conditions,756161000000107,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Abdominal X-ray,60654006,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Injection into anterior chamber of eye,4143006,69.000,22,277829,7.9e-05,35,1.59,NaN,NaN,,NaN
Hepatitis C screening offered,1107671000000106,69.000,22,277829,7.9e-05,36,1.64,,,,
Retinal laser therapy,169425004,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Understands reducing diet,170796001,69.000,22,277829,7.9e-05,44,2,NaN,NaN,NaN,NaN
CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1,950181000000106,69.000,22,277829,7.9e-05,32,1.45,NaN,NaN,NaN,NaN
Wheat RAST test,1016611000000109,70.000,22,277829,7.9e-05,22,1,0.5933333333,0.36,0.9980385526,0.1
Excepted from heart failure quality indicators - informed dissent,717491000000102,70.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Arthritis of wrist,1771000119109,69.000,22,277829,7.9e-05,25,1.14,,,,
Boil of buttock,12430003,69.000,22,277829,7.9e-05,36,1.64,NaN,NaN,NaN,NaN
Faecal calprotectin test,1897541000006103,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Memory: Current monarch known,710541000006100,69.000,22,277829,7.9e-05,22,1,,,,
Seen in thoracic medicine clinic,185240002,69.000,22,277829,7.9e-05,27,1.23,,,,
Removal of staples,35963001,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Discussed with healthcare professional,915451000000107,69.500,22,277829,7.9e-05,24,1.09,,,,
Attended abdominal aortic aneurysm screening,1804311000006102,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Knee joint operations,179342005,69.000,22,277829,7.9e-05,31,1.41,,,,
Scleroderma,267874003,69.000,22,277829,7.9e-05,45,2.05,NaN,NaN,NaN,NaN
Multidisciplinary team meeting without patient,1912201000006106,69.000,22,277829,7.9e-05,29,1.32,NaN,NaN,,NaN
Neutrophilia,165518003,69.000,22,277829,7.9e-05,36,1.64,7,7,,7
O/E - loss of height,162761009,69.000,22,277829,7.9e-05,25,1.14,NaN,NaN,,NaN
Chiropodist,159034004,69.000,22,277829,7.9e-05,32,1.45,,,,
Diagnostic dermatoscopy of skin,427690002,69.000,22,277829,7.9e-05,24,1.09,NaN,NaN,,NaN
Rhegmatogenous retinal detachment,19620000,69.000,22,277829,7.9e-05,34,1.55,NaN,NaN,NaN,NaN
FEV1/FVC < 70 percent of predicted,314472003,69.000,22,277829,7.9e-05,26,1.18,,,,
Disorder of the urinary system,128606002,70.000,22,277829,7.9e-05,25,1.14,NaN,NaN,NaN,NaN
Memory: own age known,165281000,69.000,22,277829,7.9e-05,22,1,,,,
Systolic murmur,31574009,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Written advice about long acting reversible contraception,762711000000104,69.000,22,277829,7.9e-05,26,1.18,,,,
Has steroid emergency card,1326891000000107,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Refusal of treatment by patient,105480006,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Patient feels dignity and privacy have been respected,1938271000006108,69.000,22,277829,7.9e-05,30,1.36,,,,
"Patient and carer concerns, expectations and wishes",1052941000000107,70.000,22,277829,7.9e-05,26,1.18,,,,
Glaucoma NOS,23986001,69.000,22,277829,7.9e-05,28,1.27,NaN,NaN,,NaN
Ear disorder screening,171219003,69.000,22,277829,7.9e-05,37,1.68,,,,
TURBT - Transurethral resection of bladder tumour,386792000,69.000,22,277829,7.9e-05,38,1.73,NaN,NaN,NaN,NaN
Stress incontinence - symptom,22220005,69.000,22,277829,7.9e-05,43,1.95,NaN,NaN,,NaN
Short synacthen test,1014741000000105,69.500,22,277829,7.9e-05,24,1.09,NaN,NaN,NaN,NaN
Burn - unspecified,125666000,69.000,22,277829,7.9e-05,27,1.23,NaN,NaN,,NaN
Anterior and posterior colporrhaphy,13910004,69.000,22,277829,7.9e-05,32,1.45,NaN,NaN,NaN,NaN
Bisphosphonates declined,416126007,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Screening chest X-ray,171229005,69.000,22,277829,7.9e-05,23,1.05,,,,
Omeprazole adverse reaction,292112006,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
C reactive protein,61425002,69.000,22,277829,7.9e-05,46,2.09,NaN,NaN,NaN,NaN
Arthritis of foot,448394006,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Strain of Achilles tendon,22817005,69.000,22,277829,7.9e-05,26,1.18,NaN,NaN,NaN,NaN
Cancer safety netting card given to patient,1970471000006106,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Surgical face mask,409528009,70.000,22,277829,7.9e-05,22,1,,,,
O/E - breath sounds,162949006,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
O/E - tympanic membr retracted,164242005,69.000,22,277829,7.9e-05,25,1.14,NaN,NaN,NaN,NaN
Private health insurance held,185952002,69.000,22,277829,7.9e-05,22,1,,,,
Referral by community-based dietitian,306069009,69.000,22,277829,7.9e-05,23,1.05,,,,
Mass of hand,309526009,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,,NaN
Wells DVT score - collateral superficial veins,1859451000006102,69.000,22,277829,7.9e-05,23,1.05,0.4285714286,0,0.5345224838,0
Hypertension monitoring offer default,185718005,69.000,22,277829,7.9e-05,25,1.14,,,,
Irrigation,67889009,69.000,22,277829,7.9e-05,31,1.41,NaN,NaN,,NaN
Main spoken language Italian,407642001,69.000,22,277829,7.9e-05,25,1.14,,,,
Fibroadenoma of breast,254845004,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Ischaemic stroke,422504002,69.000,22,277829,7.9e-05,40,1.82,NaN,NaN,NaN,NaN
Disorder of vision,95677002,69.000,22,277829,7.9e-05,25,1.14,NaN,NaN,,NaN
Implantation of permanent intravenous cardiac pacemaker,175142009,69.000,22,277829,7.9e-05,34,1.55,,,,
Coronary artery atheroma,67682002,69.000,22,277829,7.9e-05,28,1.27,NaN,NaN,,NaN
Percutaneous balloon coronary angioplasty,11101003,69.000,22,277829,7.9e-05,31,1.41,NaN,NaN,NaN,NaN
Chronic long term disease management required: complex needs,416357003,69.500,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Sight deteriorating,225581002,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Diagnostic cystoscopy NOS,176178006,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
MRI of pelvis,2690005,70.000,22,277829,7.9e-05,25,1.14,NaN,NaN,NaN,NaN
Orthopaedic emergency hospital admission,183461005,69.000,22,277829,7.9e-05,22,1,,,,
Cubital tunnel syndrome,56177003,69.000,22,277829,7.9e-05,24,1.09,,,,
Before procedure,307153007,69.000,22,277829,7.9e-05,32,1.45,,,,
Number of admissions for ketoacidosis,857111000006104,69.000,22,277829,7.9e-05,25,1.14,0,0,0,0
Discharge from speech and language therapy service,306638006,69.000,22,277829,7.9e-05,22,1,,,,
Does not use hearing aid,285056001,69.000,22,277829,7.9e-05,31,1.41,NaN,NaN,,NaN
H/O: cataract,161489009,69.500,22,277829,7.9e-05,22,1,,,,
Chronic kidney disease stage 3A with proteinuria,324311000000101,69.000,22,277829,7.9e-05,25,1.14,,,,
Marital problems,65118005,69.000,22,277829,7.9e-05,34,1.55,NaN,NaN,NaN,NaN
Existing patient paper record available,877411000000101,69.000,22,277829,7.9e-05,22,1,,,,
No family history of bowel cancer,758811000000100,69.000,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Did not attend general practitioner chronic disease monitoring clinic,248831000000104,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Cervical smear overdue,390930009,69.000,22,277829,7.9e-05,22,1,,,,
Preferred priorities for care document completed,785091000000102,69.000,22,277829,7.9e-05,25,1.14,NaN,NaN,NaN,NaN
Blood inorganic phosphate level,1031001000000103,69.000,22,277829,7.9e-05,23,1.05,2.141428571,1.18,4.552741246,1.21
Seen by clinical allergy - service,305801003,70.000,22,277829,7.9e-05,30,1.36,,,,
Son deceased,160452001,70.000,22,277829,7.9e-05,27,1.23,NaN,NaN,NaN,NaN
Grade 3 - marked limitation of ordinary activity,806261000006101,69.000,22,277829,7.9e-05,24,1.09,NaN,NaN,,NaN
Bordetella pertussis antibody level,1014441000000100,69.000,22,277829,7.9e-05,26,1.18,NaN,27.5,NaN,7
Home visit planned by doctor,185461007,70.000,22,277829,7.9e-05,25,1.14,,,,
Dribbling of urine,58972000,69.000,22,277829,7.9e-05,28,1.27,NaN,NaN,,NaN
Able to comprehend language,719750006,69.500,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Pancreatic cyst,31258000,70.000,22,277829,7.9e-05,31,1.41,NaN,NaN,,NaN
Curettage of lesion of skin NOS,87591000,70.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
IgG subclass level,1012261000000108,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Periorbital oedema,49563000,69.000,22,277829,7.9e-05,25,1.14,,,,
Left loin pain,853721000006104,69.000,22,277829,7.9e-05,28,1.27,NaN,NaN,,NaN
Adenoma,32048006,69.000,22,277829,7.9e-05,23,1.05,NaN,NaN,NaN,NaN
Mucocele of mouth,235017008,69.000,22,277829,7.9e-05,22,1,,,,
On ear microsuction care pathway,869651000000100,70.000,22,277829,7.9e-05,36,1.64,,,,
Cardiovascular disease risk assessment indicated,383321000000103,69.000,22,277829,7.9e-05,25,1.14,,,,
Disability affecting daily living,413298002,69.500,22,277829,7.9e-05,22,1,NaN,NaN,,NaN
Travels abroad widely,161087004,69.500,22,277829,7.9e-05,24,1.09,,,,
H/O: gallstones,407637009,69.000,22,277829,7.9e-05,23,1.05,,,,
"[D]Sleep disturbance, unspecified",44186003,69.000,22,277829,7.9e-05,27,1.23,NaN,NaN,,NaN
Depression NOS,609311000000100,69.000,22,277829,7.9e-05,57,2.59,,,,
Nasal catarrh - acute,64531003,69.000,22,277829,7.9e-05,22,1,NaN,NaN,NaN,NaN
Food and drink intake,229918000,69.000,22,277829,7.9e-05,109,4.95,,,,
Pancytopenia,127034005,69.000,22,277829,7.9e-05,31,1.41,NaN,NaN,,NaN
Surgical instrument,37759000,70.000,22,277829,7.9e-05,60,2.73,NaN,NaN,,NaN
Test request : Stool helicobacter antigen test,1803491000006100,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Patient remote record access enabled,1573241000006101,70.000,21,277829,7.6e-05,21,1,,,,
Peak expiratory flow rate - technique moderate,390860003,69.000,21,277829,7.6e-05,21,1,,,,
Tiredness symptom NOS,267031002,69.000,21,277829,7.6e-05,31,1.48,NaN,NaN,NaN,NaN
Male gender,703117000,69.000,21,277829,7.6e-05,27,1.29,NaN,NaN,,NaN
Asthma monitoring invitation email,928511000000107,70.000,21,277829,7.6e-05,30,1.43,NaN,NaN,,NaN
Pathological fracture due to osteoporosis,443165006,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Best ever peak flow rate (respiratory),271306003,69.000,21,277829,7.6e-05,23,1.1,373.695652174,370,67.548928248,350
Breathlessness lying flat,62744007,69.000,21,277829,7.6e-05,21,1,,,,
Nasal discharge,64531003,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
O/E - gait,163683007,69.000,21,277829,7.6e-05,22,1.05,,,,
Axonal sensorimotor neuropathy,230657007,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Shingles vaccination invitation first letter,896011000000102,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Unilateral headache,162300006,69.000,21,277829,7.6e-05,32,1.52,,,,
Chronic allergic conjunctivitis,26045000,69.000,21,277829,7.6e-05,31,1.48,,,,
Eosinophilic disorder,191357009,70.000,21,277829,7.6e-05,28,1.33,1.133333333,0.3,1.619670748,0.1
Apixaban not tolerated,985331000000105,69.000,21,277829,7.6e-05,21,1,,,,
Referral to geneticist,308469005,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Polyp of cervix,65576009,69.000,21,277829,7.6e-05,24,1.14,,,,
Postoperative procedure,722492002,69.000,21,277829,7.6e-05,40,1.9,NaN,NaN,NaN,NaN
Educated about SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection,1240711000000104,69.000,21,277829,7.6e-05,21,1,,,,
Plasma D-dimer concentration,1010961000000102,69.000,21,277829,7.6e-05,22,1.05,1052.181818182,429.5,1665.999103537,150
Lipoma of neck,93160004,70.000,21,277829,7.6e-05,21,1,,,,
Cauterisation of Little's area,314127001,69.000,21,277829,7.6e-05,22,1.05,,,,
Blood letting,127606004,69.000,21,277829,7.6e-05,26,1.24,,,,
Planned quit date,904101000006106,70.000,21,277829,7.6e-05,32,1.52,NaN,NaN,,NaN
Angiocardiography abnormal,168935008,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Brother deceased,160447006,69.000,21,277829,7.6e-05,23,1.1,,,,
Gujarati language,161142001,70.000,21,277829,7.6e-05,34,1.62,,,,
Refusal by patient to provide information about religion,763896000,70.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
"Travel sickness, unspecified",37031009,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Main spoken language Persian,395108007,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Sprain of hip and thigh,17883008,69.000,21,277829,7.6e-05,72,3.43,,,,
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result unknown,1321691000000102,69.000,21,277829,7.6e-05,21,1,,,,
Prostatectomy,90470006,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Gabapentin adverse reaction,292318003,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Cervical spondylosis with myelopathy,65260001,69.000,21,277829,7.6e-05,28,1.33,NaN,NaN,,NaN
Adverse reaction to Morphine,1025911000006109,70.000,21,277829,7.6e-05,21,1,,,,
Acquired trigger thumb,42786005,69.500,21,277829,7.6e-05,28,1.33,NaN,NaN,NaN,NaN
Tissue viability assessment,818521000000101,70.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Very heavy cigarette smoker (40+ cigs/day),160606002,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Ulcerative proctitis,52231000,69.000,21,277829,7.6e-05,35,1.67,NaN,NaN,NaN,NaN
Inflammatory polyarthritis,417373000,70.000,21,277829,7.6e-05,58,2.76,,,,
Erythrocyte sedimentation,416560009,69.000,21,277829,7.6e-05,24,1.14,31.142857143,20,30.394235042,20
Wound pain,298012000,69.000,21,277829,7.6e-05,70,3.33,NaN,NaN,NaN,NaN
Urine screening for protein,171247004,69.000,21,277829,7.6e-05,25,1.19,,,,
Synovitis,416209007,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Seen by podiatry service,305846002,69.000,21,277829,7.6e-05,28,1.33,NaN,NaN,NaN,NaN
Restlessness and agitation,274647009,69.000,21,277829,7.6e-05,45,2.14,NaN,NaN,,NaN
Patient registration miscellaneous data - additional,184139002,69.000,21,277829,7.6e-05,23,1.1,,,,
Chronic intractable pain,274665008,69.000,21,277829,7.6e-05,31,1.48,NaN,NaN,NaN,NaN
Other person - source of information,15941000000108,69.000,21,277829,7.6e-05,43,2.05,NaN,NaN,NaN,NaN
Exposed to tobacco smoke at home,228524006,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Ex-cigarette smoker amount unknown,266928006,70.000,21,277829,7.6e-05,22,1.05,,,,
Patient may not register,184076002,69.000,21,277829,7.6e-05,27,1.29,NaN,NaN,NaN,NaN
Referral to palliative care service,306237005,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,,NaN
Access to or within the residence,276055001,69.000,21,277829,7.6e-05,58,2.76,NaN,NaN,NaN,NaN
Peanut RAST test,1008951000000101,70.000,21,277829,7.6e-05,21,1,0.8958333333,0.185,2.075302643,0.1
O/E - cold sore,163139004,70.000,21,277829,7.6e-05,23,1.1,,,,
Proactive care coordination needs assessment,1239411000000104,70.000,21,277829,7.6e-05,22,1.05,,,,
Smoking clinic,856371000006107,69.000,21,277829,7.6e-05,62,2.95,,,,
Accepted by psychological talking therapy service,863671000000106,69.000,21,277829,7.6e-05,36,1.71,NaN,NaN,NaN,NaN
Death notification,363049002,69.500,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Photosensitivity,90128006,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Corneal thickness,251691009,69.000,21,277829,7.6e-05,21,1,554.5,570.5,51.180353373,510
Suitable for self management plan,1860211000006103,69.000,21,277829,7.6e-05,21,1,,,,
CPA - Care Programme Approach,1092421000000100,69.000,21,277829,7.6e-05,25,1.19,NaN,NaN,NaN,NaN
Syncopal episodes (fainting)/dizziness,961911000006108,69.500,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Medicines adherence checked,526431000000106,69.000,21,277829,7.6e-05,28,1.33,NaN,NaN,,NaN
Referral to expert patient education versus routine treatment diabetes structured education programme,306771000000105,70.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Treatment delay - patient choice,373787003,69.500,21,277829,7.6e-05,24,1.14,,,,
Adjusted body weight,2304671000000106,70.000,21,277829,7.6e-05,21,1,70.966666667,69.9,10.528975892,67
Injection of steroid into plantar fascia,414504000,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Allergic reaction to drug,416093006,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Bladder continence assessment,281047000,70.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Grade A none drinker or rare,855071000006104,69.000,21,277829,7.6e-05,22,1.05,,,,
Hydrocephalus,230745008,69.000,21,277829,7.6e-05,25,1.19,,,,
Rheumatoid arthritis monitoring,275902004,69.500,21,277829,7.6e-05,22,1.05,,,,
Pigment dispersion syndrome,392133001,70.000,21,277829,7.6e-05,33,1.57,NaN,NaN,,NaN
Vulval swab taken,168353008,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,NaN,NaN
Cervical smear - mild dyskaryosis,269959007,69.000,21,277829,7.6e-05,24,1.14,,,,
Needs help with housework,400985006,69.500,21,277829,7.6e-05,22,1.05,,,,
GU symptoms,267062003,69.000,21,277829,7.6e-05,60,2.86,NaN,NaN,NaN,NaN
Hormone replacement monitoring status,308534006,69.000,21,277829,7.6e-05,25,1.19,NaN,NaN,,NaN
Dilatation of urethral meatus,176384003,69.000,21,277829,7.6e-05,21,1,,,,
Patient consented to randomised clinical trial,287091000000104,70.000,21,277829,7.6e-05,21,1,,,,
[RFC] Reason for care : Oral hygiene,908381000006107,69.000,21,277829,7.6e-05,21,1,,,,
Lipid-lowering drug adverse reaction,293417004,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Born in Scotland,315515001,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Plain X-ray of foot,1290452004,70.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Death certificate,307930005,70.000,21,277829,7.6e-05,23,1.1,NaN,NaN,NaN,NaN
Plain X-ray thoracic spine abnormal,168578008,69.000,21,277829,7.6e-05,21,1,,,,
Record transfer administration,715411000000103,69.000,21,277829,7.6e-05,31,1.48,,,,
Osteotomy of proximal phalanx of hallux,74414008,70.000,21,277829,7.6e-05,25,1.19,NaN,NaN,,NaN
Pain of hip region,49218002,69.000,21,277829,7.6e-05,26,1.24,NaN,NaN,NaN,NaN
Problem behaviour,277843001,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Adverse reaction to metronidazole,293029004,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Tinnitus NOS,60862001,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
O/E - foreign body in skin,268986002,69.000,21,277829,7.6e-05,22,1.05,,,,
Hawkins and Kennedy test negative,1829811000006101,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Plastic surgery referral,904651000006104,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
Laboratory test result not back yet,2541000000109,69.000,21,277829,7.6e-05,28,1.33,,,,
Chronic obstructive pulmonary disease monitoring in primary care,1856491000006103,70.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Born in Ghana,315432000,69.500,21,277829,7.6e-05,22,1.05,,,,
Percutaneous endoscopic gastrostomy feeding,225373002,70.000,21,277829,7.6e-05,37,1.76,,,,
Bleeding symptom,800901000000100,70.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Creation of ileostomy,173977007,70.000,21,277829,7.6e-05,35,1.67,NaN,NaN,NaN,NaN
Safari holiday,161095000,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Cerebellar ataxia,85102008,69.000,21,277829,7.6e-05,33,1.57,NaN,NaN,NaN,NaN
Rheumatology disorder annual review,698706005,69.000,21,277829,7.6e-05,22,1.05,,,,
Blepharoplasty of both eyelids,75489002,69.000,21,277829,7.6e-05,31,1.48,NaN,NaN,NaN,NaN
Planned action,940601000006102,69.000,21,277829,7.6e-05,36,1.71,,,,
Fracture of shoulder,16250001000004107,70.000,21,277829,7.6e-05,28,1.33,,,,
Endogenous depression - recurrent,274948002,69.000,21,277829,7.6e-05,73,3.48,,,,
Seen by community matron,247711000000103,70.000,21,277829,7.6e-05,34,1.62,,,,
Assessment of sense of balance,427226009,70.000,21,277829,7.6e-05,26,1.24,NaN,NaN,,NaN
Second pneumococcal vaccination invitation letter sent,200821000000109,69.000,21,277829,7.6e-05,22,1.05,,,,
Wells pulmonary embolus clinical probability score,513651000000104,69.000,21,277829,7.6e-05,21,1,1.738095238,1,2.205782444,0
Obstructive sleep apnoea syndrome,78275009,70.000,21,277829,7.6e-05,27,1.29,NaN,NaN,NaN,NaN
Impotence of organic origin,198036002,69.000,21,277829,7.6e-05,23,1.1,,,,
Finkelstein's test negative,299050002,69.500,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Left hemiparesis,278287000,70.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
